Pseudo_Student_ID,video_pause_1,video_completed_1,video_pause_4,wall_page_load_4,video_play_1,video_watch_2,video_watch_3,video_seek_3,wall_page_load_1,video_play_2,video_seek_4,video_watch_1,video_completed_2,video_pause_2,video_play_4,wall_page_load_2,video_play_3,video_pause_3,video_seek_1,wall_page_load_3,video_watch_4,video_seek_2,video_caption_1,video_completed_3,tys_finish_1,tys_answer_1,tys_finish_2,tys_finish_3,tys_review_incorrect_question_2,tys_answer_2,tys_answer_3,video_caption_2,ortan_load_1,tys_review_correct_question_3,video_completed_4,tys_review_incorrect_question_3,tys_previous_2,tys_finish_4,tys_previous_3,tys_answer_4,tys_review_incorrect_question_1,tys_load_4,leaderboard_load_2,ortan_load_2,tys_load_2,tys_previous_1,tys_load_1,tys_load_3,tys_previous_4,tys_review_incorrect_question_4,leaderboard_load_1,document_view_2,leaderboard_load_3,ortan_load_3,tys_review_solution_video_4,tys_review_correct_question_1,leaderboard_load_4,video_caption_4,tys_review_correct_question_2,video_caption_3,ortan_video_watch_1,wall_load_more_2,tys_review_topic_video_1,tys_review_solution_video_1,tys_review_correct_question_4,tys_review_solution_video_2,ortan_video_watch_2,document_view_1,wall_load_more_1,tys_review_topic_video_2,ortan_video_watch_3,document_view_3,ortan_load_4,ortan_video_watch_4,tys_review_solution_video_3,tys_review_topic_video_4,wall_load_more_4,tys_review_topic_video_3,wall_load_more_3,document_view_4,wall_make_post_4,wall_make_post_2,wall_make_post_1,wall_search_1,wall_make_post_3,wall_search_3,wall_search_2,wall_search_4
195815098,5,0,6,22,9,5,5,4,16,7,6,8,1,4,12,17,8,4,4,13,11,3,1,2,14,24,13,5,7,35,10,0,0,0,2,3,4,19,0,39,10,1,0,0,1,0,0,1,0,11,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195815336,1,1,0,0,10,4,0,0,48,0,0,10,0,0,0,2,0,0,1,0,0,0,0,0,12,25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
195818276,8,2,0,0,14,15,2,3,11,19,0,13,3,11,0,12,5,3,7,2,0,8,1,0,1,2,6,0,7,9,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195821685,0,0,1,1,0,20,2,0,0,18,1,0,3,11,2,10,2,1,0,7,4,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195827971,2,0,0,0,2,0,0,0,7,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195829588,0,0,0,1,0,1,0,0,0,2,0,0,0,1,0,2,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195830974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195836525,2,1,0,0,2,4,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195839920,34,9,9,28,47,26,23,11,35,26,13,48,9,20,13,22,13,11,30,12,45,19,2,3,0,0,0,0,0,0,0,0,1,0,8,0,0,1,0,9,0,2,0,0,0,0,0,1,0,5,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
195841376,6,4,13,103,13,24,11,6,60,21,15,28,1,11,25,69,14,6,7,50,45,8,2,0,31,53,49,15,21,90,37,2,2,0,2,2,12,69,8,106,12,0,2,0,1,8,0,7,20,44,5,0,5,0,0,2,0,3,0,2,0,1,0,0,5,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0
195841943,3,2,0,0,3,3,0,0,6,2,0,4,0,2,0,1,0,0,2,0,0,1,0,0,7,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195842069,45,6,25,135,62,79,69,19,114,59,21,101,7,39,47,116,37,23,46,97,84,35,1,4,52,85,56,35,54,70,40,1,1,34,6,47,3,82,2,110,51,0,0,0,4,12,2,0,11,86,1,0,0,0,1,1,0,0,21,0,0,0,2,20,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195843217,13,10,2,23,29,8,12,2,23,10,2,25,5,5,4,7,4,2,10,4,27,4,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,8,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195847830,1,1,0,16,2,2,1,0,11,1,0,12,0,0,1,2,1,0,1,4,1,0,0,0,5,10,2,2,2,5,4,0,0,3,0,2,1,8,0,53,0,10,0,0,0,2,0,0,3,7,0,0,0,0,17,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
195848068,5,2,3,22,10,31,31,14,21,33,3,13,8,14,6,48,25,15,3,49,7,14,1,5,6,22,18,10,4,48,37,1,1,7,2,17,22,7,21,53,0,2,0,0,0,11,0,0,31,2,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195850329,16,10,13,22,29,20,13,9,13,19,10,20,9,10,25,9,18,12,13,8,30,11,0,5,0,0,0,0,0,0,0,1,0,0,11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195851309,0,0,0,30,0,0,1,0,2,0,0,2,0,0,3,0,2,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,28,0,9,0,0,0,0,0,1,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
195852002,0,0,0,17,0,0,4,0,0,0,0,0,0,0,1,1,3,1,0,11,0,0,0,0,0,0,0,5,0,0,50,0,0,0,0,11,0,7,3,74,0,15,0,0,0,0,0,8,22,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
195853325,1,0,0,0,2,0,3,1,1,0,0,1,0,0,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195860311,3,3,0,0,3,0,0,0,3,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195860836,1,0,0,10,2,10,3,2,2,15,0,3,0,12,0,8,3,2,1,3,41,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195861928,2,2,2,2,5,5,4,2,11,4,3,9,2,1,4,14,4,2,3,6,9,1,2,1,0,1,9,3,7,14,7,0,0,0,1,3,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195865519,14,10,2,26,29,12,8,2,63,18,3,36,2,7,5,43,7,3,12,26,5,7,0,1,33,94,21,17,15,54,34,0,0,12,0,27,4,15,1,37,40,2,0,0,4,21,6,1,2,28,0,0,0,0,2,7,0,0,0,0,0,0,0,8,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
195869845,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,2,0,2,17,0,0,0,0,0,0,2,1,0,9,0,2,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195871231,20,10,0,0,20,19,0,0,47,19,0,21,12,19,0,50,0,0,12,2,0,17,1,0,46,84,36,0,28,51,0,1,0,0,0,0,0,0,0,0,48,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
