"Pseudo_Student_ID","school_id_pb","ABSENCES_TOTAL_22","ALG1_EOC_SCALE_SCORE_22","document_view_1","document_view_2","document_view_3","document_view_4","leaderboard_load_1","leaderboard_load_2","leaderboard_load_3","leaderboard_load_4","ortan_load_1","ortan_load_2","ortan_load_3","ortan_load_4","ortan_video_watc_1","ortan_video_watc_2","ortan_video_watc_3","ortan_video_watc_4","tys_answer_1","tys_answer_2","tys_answer_3","tys_answer_4","tys_finish_1","tys_finish_2","tys_finish_3","tys_finish_4","tys_load_1","tys_load_2","tys_load_3","tys_load_4","tys_previous_1","tys_previous_2","tys_previous_3","tys_previous_4","tys_review_corre_1","tys_review_corre_2","tys_review_corre_3","tys_review_corre_4","tys_review_incor_1","tys_review_incor_2","tys_review_incor_3","tys_review_incor_4","tys_review_solut_1","tys_review_solut_2","tys_review_solut_3","tys_review_solut_4","tys_review_topic_1","tys_review_topic_2","tys_review_topic_3","tys_review_topic_4","video_caption_1","video_caption_2","video_caption_3","video_caption_4","video_completed_1","video_completed_2","video_completed_3","video_completed_4","video_pause_1","video_pause_2","video_pause_3","video_pause_4","video_play_1","video_play_2","video_play_3","video_play_4","video_seek_1","video_seek_2","video_seek_3","video_seek_4","video_watch_1","video_watch_2","video_watch_3","video_watch_4","wall_load_more_1","wall_load_more_2","wall_load_more_3","wall_load_more_4","wall_make_post_1","wall_make_post_2","wall_make_post_3","wall_make_post_4","wall_page_load_1","wall_page_load_2","wall_page_load_3","wall_page_load_4","wall_search_1","wall_search_2","wall_search_3","Test_Schl_Type_AL","Test_Schl_Type_CH","Test_Schl_Type_DJ","Test_Schl_Type_HS","Test_Schl_Type_MS","GENDER_F","GENDER_M","ETHNICITY_A","ETHNICITY_B","ETHNICITY_H","ETHNICITY_I","ETHNICITY_M","ETHNICITY_W","FRL_N","FRL_Y","ALGEBRA_COURSE1_DESC_22_","ALGEBRA_COURSE1_DESC_22_Alg 1","ALGEBRA_COURSE1_DESC_22_Alg 1 Hon","ALGEBRA_COURSE1_DESC_22_Ib Myp Alg 1","ALGEBRA_COURSE1_DESC_22_Pre-Aice Math 1 Ig","First_time_test_taker_N","First_time_test_taker_Y","actions1","log_actions1","actions2","log_actions2","actions3","log_actions3","actions4","log_actions4"
"281056289",2361,0,496,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,49,6,0,34,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,0,237,86,0,0,274,97,0,117,0,0,72,40,0,1,7,0,0,0,0,0,0,0,0,48,0,11,3,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,239,5.48063892334199,570,6.34738920965601,233,5.4553211153577,88,4.48863636973214
"281056401",2361,0,464,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,50,0,0,10,0,10,0,7,0,35,50,0,0,10,0,0,0,0,0,0,7,0,0,0,0,2,0,0,0,0,1,0,0,0,2,0,16,15,25,21,183,255,202,642,200,269,234,673,304,75,197,322,24,33,58,36,0,0,0,0,0,0,0,0,27,73,82,34,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,812,6.70073110954781,777,6.65672652417839,851,6.74758652682932,1746,7.46565531013406
"281056422",581,2,425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0.693147180559945,0,0,0,0,0,0
"281058046",3861,15,425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,58,0,0,0,65,0,0,8,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,21,3.09104245335832,132,4.89034912822175,0,0,0,0
"281058270",2191,0,480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,25,0,44,3,1,0,7,3,1,1,4,4,0,0,1,0,0,0,1,0,0,4,3,1,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,2,1,6,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,19,2.99573227355399,33,3.52636052461616,10,2.39789527279837,66,4.20469261939097
"281058284",2361,13,425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,39,0,0,2,21,0,0,0,4,0,0,0,0,0,0,0,0,0,2,20,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,1,12,2,0,13,2,7,0,30,4,0,3,4,21,0,6,2,20,0,0,0,0,0,0,0,0,0,8,27,9,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,19,2.99573227355399,39,3.68887945411394,141,4.95582705760126,68,4.23410650459726
"281058298",2001,1,513,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,7,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,7,2.07944154167984,16,2.83321334405622
"281058305",691,15,482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,3,4,0,0,2,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,11,0,15,0,0,2,0,2,0,9,0,0,0,0,0,0,0,0,0,19,0,0,20,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,33,3.52636052461616,23,3.17805383034795,13,2.63905732961526,46,3.85014760171006
"281058487",961,3,512,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,176,422,234,111,84,33,31,16,52,24,35,8,166,101,122,29,20,3,1,10,61,12,58,11,22,6,0,0,0,0,0,0,0,0,0,0,1,2,0,5,33,21,27,0,43,26,54,5,28,48,0,36,8,21,0,40,0,0,0,0,0,0,0,0,252,177,156,36,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,946,6.85329909318608,898,6.80128303447162,718,6.57786135772105,308,5.73334127689775
"281058536",1581,7,520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,13,41,0,2,22,199,3,0,35,272,6,0,203,10,0,8,67,23,0,7,0,0,0,0,0,0,0,0,36,9,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,376,5.93224518744801,554,6.31896811374643,15,2.77258872223978,17,2.89037175789616
"281058718",1361,1,449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,5,0,0,1,0,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,10,2.39789527279837,4,1.6094379124341,2,1.09861228866811,2,1.09861228866811
"281059047",2361,18,425,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,7,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,9,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,6,1.94591014905531,2,1.09861228866811,22,3.13549421592915,0,0
"281059110",1361,0,493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,60,24,0,52,67,28,0,65,21,72,54,0,3,10,8,0,0,0,0,0,0,0,0,0,1,5,0,5,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,154,5.04342511691925,139,4.9416424226093,63,4.15888308335967,122,4.81218435537242
"281060692",2181,1,463,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0.693147180559945,0,0,6,1.94591014905531
"281061231",1361,10,485,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,5,0,24,11,0,37,29,15,0,42,18,33,55,0,4,11,13,0,0,0,0,0,0,0,0,0,1,8,0,7,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,83,4.43081679884331,80,4.39444915467244,73,4.30406509320417,86,4.46590811865458
"281061581",961,14,523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,254,63,203,60,31,19,34,30,8,11,41,61,28,18,14,16,0,4,90,47,16,99,44,44,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,4,2,1,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,166,41,46,55,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,530,6.27476202124194,388,5.96357934361845,263,5.57594910314632,482,6.18001665365257
"281061637",961,3,490,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,121,141,131,114,30,29,24,19,11,6,13,26,70,50,46,10,0,11,0,13,39,69,57,87,68,20,0,14,0,2,2,0,0,0,0,0,0,0,0,4,5,0,22,51,13,1,35,67,0,10,29,25,2,14,9,16,0,0,0,0,0,0,0,0,62,55,57,46,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,421,6.04500531403601,410,6.01859321449623,427,6.0591231955818,492,6.20050917404269
